checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,class
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,no known property,none,own,skilled,none,yes,55,827,4,1,35,4,1,good
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,40,15279,4,2,41,4,1,bad
0<=X<200,existing paid,radio/tv,100<=X<500,4<=X<7,male single,none,no known property,none,own,skilled,yes,yes,51,17056,4,1,43,4,1,good
no checking,existing paid,used car,<100,>=7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,4,3013,2,1,66,1,1,good
<0,all paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,22,17863,4,2,75,1,1,good
<0,all paid,used car,<100,1<=X<4,male single,co applicant,no known property,none,own,unskilled resident,none,yes,49,15895,2,3,67,4,1,good
<0,critical/other existing credit,new car,100<=X<500,1<=X<4,male single,none,life insurance,none,own,skilled,yes,yes,70,9195,2,4,49,1,1,bad
<0,existing paid,radio/tv,<100,<1,female div/sep/mar,none,car,none,rent,unskilled resident,none,yes,5,17321,4,1,24,3,2,good
0<=X<200,existing paid,new car,<100,>=7,female div/sep/mar,none,real estate,none,own,unskilled resident,yes,yes,59,17356,4,1,53,1,1,good
<0,existing paid,radio/tv,<100,>=7,female div/sep/mar,none,car,none,rent,skilled,yes,yes,20,14104,4,2,70,3,1,bad
<0,existing paid,used car,<100,1<=X<4,male single,none,no known property,bank,rent,high qualif/self emp/mgmt,yes,yes,25,17380,2,4,74,3,1,good
<0,all paid,new car,<100,>=7,male div/sep,none,life insurance,none,own,skilled,none,yes,30,2962,3,4,22,1,1,bad
0<=X<200,existing paid,radio/tv,<100,>=7,male single,none,car,none,own,unskilled resident,yes,yes,58,17341,2,1,58,4,1,good
<0,all paid,new car,no known savings,>=7,male single,none,real estate,none,own,skilled,none,yes,35,16107,3,2,38,3,2,good
0<=X<200,critical/other existing credit,used car,<100,<1,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,63,8876,4,3,59,1,1,bad
0<=X<200,existing paid,radio/tv,no known savings,>=7,male single,co applicant,life insurance,none,own,skilled,none,yes,31,13318,2,4,72,2,1,good
no checking,existing paid,new car,no known savings,1<=X<4,male single,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,31,17117,4,3,19,4,1,good
<0,critical/other existing credit,education,<100,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,28,14969,3,2,63,2,1,bad
no checking,delayed previously,new car,<100,<1,male single,none,real estate,none,own,skilled,none,yes,29,1783,3,3,44,3,1,good
no checking,existing paid,used car,<100,1<=X<4,male single,none,no known property,none,for free,unskilled resident,none,yes,20,16803,2,2,52,2,1,good
<0,existing paid,radio/tv,>=1000,<1,female div/sep/mar,none,life insurance,bank,rent,skilled,yes,yes,10,17654,2,1,73,1,1,good
no checking,existing paid,used car,<100,1<=X<4,male single,none,real estate,stores,for free,skilled,none,yes,59,7343,2,3,28,4,1,good
no checking,delayed previously,new car,<100,1<=X<4,male single,none,life insurance,none,own,skilled,yes,yes,67,13406,2,1,41,3,1,good
<0,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,life insurance,none,own,high qualif/self emp/mgmt,none,yes,23,17481,1,1,69,1,1,bad
0<=X<200,delayed previously,used car,no known savings,>=7,female div/sep/mar,none,car,bank,for free,high qualif/self emp/mgmt,none,yes,41,14035,1,2,67,4,1,good
no checking,existing paid,education,>=1000,1<=X<4,male single,none,no known property,bank,own,unskilled resident,yes,yes,61,15841,4,3,42,3,2,good
no checking,critical/other existing credit,used car,<100,>=7,female div/sep/mar,none,life insurance,bank,own,unskilled resident,none,yes,19,14944,3,4,31,3,1,good
<0,existing paid,radio/tv,100<=X<500,>=7,female div/sep/mar,none,no known property,none,own,skilled,none,yes,54,3596,3,3,47,3,1,good
<0,all paid,business,<100,>=7,male mar/wid,none,car,bank,rent,skilled,none,yes,30,4263,4,4,64,3,1,bad
0<=X<200,existing paid,furniture/equipment,<100,<1,male single,none,real estate,none,own,skilled,none,yes,54,281,4,1,45,2,1,good
0<=X<200,critical/other existing credit,business,no known savings,4<=X<7,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,19,11406,4,1,49,2,1,good
no checking,existing paid,furniture/equipment,<100,>=7,male div/sep,none,car,bank,own,high qualif/self emp/mgmt,none,yes,63,10554,1,2,61,2,1,good
0<=X<200,delayed previously,business,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,43,8127,4,4,28,3,1,good
0<=X<200,existing paid,new car,<100,1<=X<4,male single,none,no known property,none,own,skilled,yes,yes,70,6420,3,3,49,2,1,good
no checking,existing paid,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,5,12328,4,2,57,4,2,good
<0,existing paid,furniture/equipment,>=1000,4<=X<7,male single,none,no known property,none,rent,unskilled resident,none,yes,51,2565,2,2,28,3,1,good
<0,existing paid,furniture/equipment,100<=X<500,1<=X<4,female div/sep/mar,none,car,none,own,skilled,none,yes,55,315,3,2,42,4,1,good
no checking,critical/other existing credit,radio/tv,500<=X<1000,<1,male single,none,life insurance,none,rent,skilled,yes,yes,27,12670,3,3,51,4,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,car,stores,own,skilled,yes,yes,5,7783,3,2,32,2,2,good
0<=X<200,delayed previously,new car,<100,>=7,female div/sep/mar,none,life insurance,bank,rent,unskilled resident,yes,yes,68,14454,1,3,53,3,1,good
0<=X<200,critical/other existing credit,new car,<100,>=7,female div/sep/mar,none,no known property,none,own,skilled,yes,yes,23,15567,1,2,63,2,1,bad
<0,critical/other existing credit,radio/tv,<100,<1,female div/sep/mar,none,car,none,own,skilled,none,yes,37,15707,3,4,52,2,2,bad
0<=X<200,existing paid,radio/tv,<100,>=7,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,44,17218,2,1,35,2,1,good
0<=X<200,existing paid,business,no known savings,1<=X<4,male single,none,life insurance,none,for free,skilled,yes,yes,44,5494,3,4,39,3,1,good
<0,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,rent,skilled,yes,yes,26,8404,1,4,50,3,1,bad
<0,critical/other existing credit,business,<100,>=7,male div/sep,none,real estate,none,own,skilled,none,yes,41,18382,2,2,21,2,2,bad
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male div/sep,none,real estate,none,rent,skilled,none,yes,47,12072,3,4,33,4,2,bad
<0,existing paid,used car,<100,>=7,male single,none,life insurance,none,own,skilled,yes,yes,70,2142,1,4,26,4,2,bad
0<=X<200,critical/other existing credit,new car,no known savings,1<=X<4,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,65,7268,2,4,50,3,1,good
<0,existing paid,radio/tv,<100,>=7,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,15,10871,4,2,56,1,2,good
0<=X<200,delayed previously,radio/tv,<100,<1,female div/sep/mar,none,real estate,none,rent,high qualif/self emp/mgmt,yes,no,33,1223,4,3,44,2,1,good
<0,all paid,new car,>=1000,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,68,11084,3,1,48,2,1,bad
no checking,critical/other existing credit,furniture/equipment,<100,>=7,female div/sep/mar,none,car,none,own,unskilled resident,none,yes,44,6865,4,1,27,1,1,bad
>=200,existing paid,business,<100,4<=X<7,male div/sep,none,car,none,own,high qualif/self emp/mgmt,none,yes,23,4579,1,3,75,3,1,good
no checking,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,none,real estate,bank,own,skilled,none,yes,9,1727,2,3,50,4,1,good
no checking,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,life insurance,none,own,high qualif/self emp/mgmt,none,yes,7,7579,3,4,29,3,1,good
0<=X<200,delayed previously,furniture/equipment,no known savings,<1,male single,none,car,stores,own,skilled,yes,yes,13,6694,2,1,40,4,2,good
<0,no credits/all paid,new car,>=1000,unemployed,male single,none,real estate,stores,own,high qualif/self emp/mgmt,none,yes,54,16635,2,3,52,4,1,bad
0<=X<200,existing paid,furniture/equipment,<100,4<=X<7,male single,none,real estate,none,rent,skilled,none,yes,41,11656,2,4,59,3,1,good
>=200,existing paid,furniture/equipment,no known savings,1<=X<4,female div/sep/mar,none,real estate,stores,own,skilled,none,yes,4,7093,1,1,36,2,2,good
no checking,existing paid,new car,<100,>=7,female div/sep/mar,none,car,none,own,skilled,none,yes,11,6222,3,2,37,2,1,good
0<=X<200,all paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,car,none,own,skilled,yes,yes,66,15545,4,2,72,2,1,good
<0,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,none,car,none,own,high qualif/self emp/mgmt,yes,yes,36,5355,2,1,36,4,1,bad
0<=X<200,existing paid,education,<100,>=7,male single,none,car,none,for free,skilled,yes,yes,18,11181,2,1,55,2,1,good
0<=X<200,existing paid,education,<100,1<=X<4,male single,none,car,stores,own,skilled,yes,yes,34,7952,2,2,36,4,1,good
no checking,existing paid,new car,100<=X<500,<1,male mar/wid,none,life insurance,bank,own,skilled,none,yes,24,14386,1,2,30,2,1,good
>=200,existing paid,radio/tv,no known savings,4<=X<7,male single,none,car,none,own,skilled,none,yes,6,2849,4,1,22,3,2,good
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,69,2485,2,4,65,1,1,good
no checking,existing paid,retraining,<100,4<=X<7,female div/sep/mar,none,car,none,own,unskilled resident,yes,yes,38,5723,1,3,61,4,1,good
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,car,bank,own,high qualif/self emp/mgmt,yes,yes,44,268,1,3,45,3,1,bad
<0,existing paid,radio/tv,<100,>=7,male single,none,life insurance,none,rent,skilled,yes,yes,62,1108,2,1,69,4,1,bad
<0,critical/other existing credit,radio/tv,<100,>=7,male single,none,life insurance,none,own,skilled,yes,yes,19,5630,2,3,23,4,1,bad
<0,critical/other existing credit,used car,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,59,3282,1,2,24,3,2,bad
<0,existing paid,new car,no known savings,<1,male single,none,car,none,rent,unemp/unskilled non res,none,yes,48,7721,1,2,31,2,1,bad
<0,critical/other existing credit,radio/tv,<100,>=7,male single,none,car,bank,own,skilled,yes,yes,62,4969,2,3,41,4,1,bad
<0,existing paid,radio/tv,<100,4<=X<7,female div/sep/mar,none,no known property,none,own,skilled,yes,yes,53,13193,1,1,60,1,2,bad
0<=X<200,critical/other existing credit,used car,<100,4<=X<7,male single,none,life insurance,none,own,unskilled resident,none,yes,15,5113,1,2,74,1,1,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,15,4288,2,4,43,3,1,good
no checking,critical/other existing credit,furniture/equipment,<100,>=7,female div/sep/mar,none,car,bank,own,unskilled resident,none,yes,36,3096,2,4,64,1,1,good
<0,critical/other existing credit,radio/tv,500<=X<1000,4<=X<7,male single,none,no known property,none,own,unskilled resident,none,yes,52,8314,3,2,22,3,1,bad
0<=X<200,critical/other existing credit,new car,<100,<1,female div/sep/mar,none,car,stores,rent,unskilled resident,yes,yes,24,11644,4,2,70,3,1,bad
0<=X<200,critical/other existing credit,business,100<=X<500,1<=X<4,male mar/wid,none,car,bank,own,unemp/unskilled non res,none,yes,63,6872,2,3,73,4,1,good
no checking,existing paid,used car,<100,>=7,male div/sep,none,car,none,own,skilled,none,yes,55,12545,2,1,50,3,1,good
<0,all paid,furniture/equipment,<100,unemployed,male single,none,car,bank,for free,high qualif/self emp/mgmt,none,yes,57,12032,2,3,62,3,1,bad
0<=X<200,existing paid,new car,<100,>=7,female div/sep/mar,none,no known property,none,rent,skilled,yes,yes,42,1409,4,1,33,2,2,good
no checking,existing paid,new car,>=1000,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,52,4876,3,4,44,4,2,good
no checking,delayed previously,radio/tv,<100,4<=X<7,female div/sep/mar,none,real estate,bank,own,skilled,none,yes,67,3972,1,4,60,1,1,good
no checking,existing paid,used car,500<=X<1000,1<=X<4,female div/sep/mar,none,no known property,bank,own,skilled,none,yes,29,11880,4,1,29,2,1,good
<0,critical/other existing credit,education,<100,1<=X<4,male single,none,car,none,rent,high qualif/self emp/mgmt,none,yes,10,11524,2,3,27,2,1,bad
<0,delayed previously,new car,>=1000,>=7,male mar/wid,none,car,bank,own,skilled,none,yes,65,15138,2,2,29,4,1,good
no checking,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,27,6839,3,1,20,4,2,bad
no checking,existing paid,furniture/equipment,100<=X<500,>=7,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,43,15723,3,3,63,2,2,good
>=200,critical/other existing credit,new car,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,50,2493,3,4,45,4,2,good
>=200,critical/other existing credit,new car,no known savings,<1,male single,none,car,none,own,skilled,none,yes,11,8427,1,2,72,4,1,good
0<=X<200,existing paid,furniture/equipment,<100,unemployed,male mar/wid,none,life insurance,bank,own,unskilled resident,yes,yes,57,2010,4,4,44,3,2,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,life insurance,stores,own,skilled,none,yes,12,16452,4,1,26,4,2,good
<0,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,car,bank,own,skilled,yes,yes,6,5692,3,4,39,3,1,bad
0<=X<200,existing paid,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,real estate,none,for free,skilled,none,yes,57,15215,1,4,39,2,1,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,no known property,none,own,unskilled resident,none,yes,24,3486,4,1,26,2,1,good
0<=X<200,existing paid,new car,>=1000,1<=X<4,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,51,15861,2,2,19,1,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,car,bank,own,unskilled resident,yes,yes,50,8485,2,1,56,4,2,bad
<0,existing paid,business,<100,1<=X<4,male single,none,no known property,none,own,high qualif/self emp/mgmt,none,yes,71,16079,2,3,31,2,1,bad
no checking,all paid,radio/tv,<100,>=7,female div/sep/mar,none,car,none,own,skilled,none,yes,66,8930,4,1,27,3,1,good
0<=X<200,no credits/all paid,radio/tv,no known savings,1<=X<4,male single,none,life insurance,none,own,high qualif/self emp/mgmt,none,yes,19,11590,3,1,46,2,1,good
>=200,existing paid,used car,100<=X<500,1<=X<4,male single,none,car,none,own,skilled,yes,yes,8,9398,2,2,24,4,1,good
<0,critical/other existing credit,radio/tv,no known savings,<1,male mar/wid,none,life insurance,none,own,skilled,yes,yes,14,10556,3,3,65,1,2,bad
0<=X<200,existing paid,radio/tv,<100,>=7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,32,17749,1,4,41,1,1,good
0<=X<200,critical/other existing credit,radio/tv,100<=X<500,1<=X<4,female div/sep/mar,none,no known property,none,own,unskilled resident,none,yes,51,18415,2,4,66,2,1,bad
<0,existing paid,business,100<=X<500,<1,female div/sep/mar,none,car,none,own,skilled,none,yes,18,11268,1,4,54,1,1,bad
0<=X<200,existing paid,new car,<100,4<=X<7,male single,none,car,none,own,unskilled resident,none,yes,37,11392,3,4,35,4,1,good
<0,existing paid,new car,no known savings,4<=X<7,female div/sep/mar,none,life insurance,stores,own,high qualif/self emp/mgmt,none,yes,63,9796,4,2,27,4,1,bad
<0,existing paid,radio/tv,no known savings,1<=X<4,male mar/wid,none,real estate,none,own,unskilled resident,none,yes,65,3526,3,3,30,1,2,good
no checking,existing paid,repairs,no known savings,1<=X<4,female div/sep/mar,none,real estate,none,rent,skilled,yes,yes,5,17082,2,2,40,3,1,good
0<=X<200,delayed previously,new car,500<=X<1000,>=7,male single,co applicant,car,none,rent,skilled,yes,yes,22,16258,2,1,69,1,1,good
no checking,existing paid,used car,<100,<1,female div/sep/mar,none,car,none,own,skilled,yes,yes,52,4422,3,3,70,1,1,good
<0,existing paid,new car,<100,>=7,male single,none,car,bank,own,skilled,none,yes,31,13433,2,3,30,2,1,bad
no checking,delayed previously,used car,no known savings,4<=X<7,male single,none,no known property,none,own,unskilled resident,none,yes,51,13086,2,4,72,3,2,good
no checking,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,40,9239,1,4,24,1,1,good
>=200,all paid,radio/tv,500<=X<1000,1<=X<4,male mar/wid,none,life insurance,none,own,skilled,none,yes,52,13990,4,4,62,2,1,good
0<=X<200,critical/other existing credit,furniture/equipment,500<=X<1000,1<=X<4,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,51,13352,3,4,27,2,1,good
0<=X<200,existing paid,furniture/equipment,100<=X<500,>=7,male mar/wid,none,life insurance,none,own,skilled,none,yes,32,15607,1,1,70,2,1,good
0<=X<200,all paid,new car,no known savings,1<=X<4,male single,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,63,15863,2,4,55,4,1,good
no checking,critical/other existing credit,used car,<100,1<=X<4,female div/sep/mar,none,no known property,none,own,unskilled resident,none,yes,32,3576,1,2,71,2,1,bad
no checking,all paid,radio/tv,<100,4<=X<7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,61,969,4,3,21,2,1,good
no checking,delayed previously,business,<100,>=7,female div/sep/mar,none,no known property,none,own,unskilled resident,yes,yes,51,18156,3,1,52,4,2,good
<0,critical/other existing credit,education,<100,1<=X<4,female div/sep/mar,none,life insurance,none,rent,unemp/unskilled non res,none,yes,26,1319,4,1,26,4,1,bad
no checking,existing paid,new car,<100,>=7,female div/sep/mar,none,no known property,none,own,skilled,none,yes,30,7999,4,3,28,2,1,good
no checking,existing paid,business,<100,1<=X<4,female div/sep/mar,none,car,none,own,skilled,none,yes,10,13185,1,3,65,1,2,good
<0,existing paid,radio/tv,no known savings,unemployed,male single,none,no known property,none,own,skilled,yes,yes,52,5137,1,3,59,3,2,good
<0,existing paid,radio/tv,no known savings,<1,male single,none,real estate,stores,own,skilled,none,yes,57,11517,4,1,60,4,1,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,car,none,own,high qualif/self emp/mgmt,none,yes,71,8194,2,2,61,3,1,good
>=200,delayed previously,furniture/equipment,<100,<1,female div/sep/mar,none,no known property,none,rent,skilled,none,yes,45,16184,3,2,27,4,1,good
no checking,all paid,used car,no known savings,unemployed,male single,none,real estate,none,for free,skilled,none,yes,62,12997,2,3,32,2,1,good
<0,existing paid,new car,<100,>=7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,47,10755,2,1,55,4,1,bad
no checking,critical/other existing credit,new car,<100,>=7,female div/sep/mar,none,life insurance,stores,own,skilled,yes,yes,29,13699,3,4,45,2,1,bad
<0,critical/other existing credit,used car,<100,>=7,female div/sep/mar,guarantor,no known property,none,own,unskilled resident,none,yes,26,11947,1,1,59,3,1,bad
<0,existing paid,furniture/equipment,<100,<1,male mar/wid,none,car,none,rent,skilled,none,yes,11,4389,2,3,50,1,1,good
<0,existing paid,radio/tv,<100,<1,male single,none,car,bank,rent,skilled,yes,yes,56,15471,1,1,22,2,1,bad
no checking,delayed previously,furniture/equipment,no known savings,<1,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,17,7337,3,1,20,3,1,good
no checking,existing paid,new car,<100,4<=X<7,male single,co applicant,real estate,none,own,skilled,none,yes,10,882,2,1,69,3,1,good
0<=X<200,existing paid,business,<100,>=7,male single,none,car,none,own,skilled,none,yes,12,2449,1,4,51,4,1,good
0<=X<200,existing paid,business,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,6,14798,1,3,39,2,1,good
no checking,critical/other existing credit,radio/tv,<100,<1,male single,none,car,none,own,unskilled resident,yes,yes,20,11505,2,3,19,3,1,good
0<=X<200,existing paid,other,100<=X<500,1<=X<4,male single,co applicant,no known property,none,own,skilled,yes,yes,47,17256,3,3,62,1,1,good
no checking,existing paid,radio/tv,500<=X<1000,1<=X<4,female div/sep/mar,none,real estate,bank,rent,skilled,yes,yes,49,6323,4,2,29,4,1,good
0<=X<200,existing paid,business,500<=X<1000,1<=X<4,male div/sep,none,car,bank,own,skilled,yes,yes,61,16994,1,2,19,4,1,good
0<=X<200,existing paid,new car,<100,4<=X<7,male single,co applicant,real estate,none,own,unskilled resident,none,yes,31,10809,3,3,64,3,1,good
0<=X<200,critical/other existing credit,furniture/equipment,no known savings,4<=X<7,male single,none,car,none,rent,unskilled resident,none,yes,17,16347,2,1,29,2,1,good
0<=X<200,critical/other existing credit,new car,no known savings,<1,male single,none,real estate,none,rent,skilled,none,yes,12,8651,1,1,25,4,1,good
no checking,critical/other existing credit,new car,500<=X<1000,unemployed,male single,none,car,none,own,skilled,none,yes,29,11909,1,3,20,2,1,good
0<=X<200,no credits/all paid,new car,<100,>=7,male mar/wid,none,life insurance,bank,own,skilled,yes,yes,5,9372,1,4,33,3,1,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,37,14144,3,4,26,3,1,bad
no checking,existing paid,radio/tv,<100,unemployed,male single,guarantor,car,none,own,skilled,none,yes,22,1127,1,1,72,2,1,good
0<=X<200,no credits/all paid,radio/tv,100<=X<500,<1,male single,none,real estate,bank,own,high qualif/self emp/mgmt,none,yes,42,14025,1,1,70,1,1,good
>=200,existing paid,new car,<100,unemployed,male mar/wid,none,car,bank,own,high qualif/self emp/mgmt,none,yes,16,10941,2,2,75,4,1,good
no checking,critical/other existing credit,repairs,<100,1<=X<4,male mar/wid,guarantor,life insurance,bank,rent,skilled,none,yes,8,16360,1,4,65,3,1,good
no checking,existing paid,radio/tv,no known savings,>=7,male single,none,car,bank,for free,unemp/unskilled non res,none,yes,53,2773,3,1,44,1,1,good
<0,existing paid,furniture/equipment,no known savings,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,none,yes,26,12793,2,1,58,1,1,good
no checking,existing paid,radio/tv,no known savings,1<=X<4,male single,none,car,stores,rent,skilled,yes,yes,32,6520,4,3,60,2,1,good
no checking,no credits/all paid,used car,<100,4<=X<7,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,29,5338,2,2,69,2,1,good
0<=X<200,existing paid,furniture/equipment,100<=X<500,1<=X<4,male single,none,life insurance,bank,own,skilled,none,yes,60,7814,1,4,53,2,1,good
<0,critical/other existing credit,business,<100,>=7,male mar/wid,none,real estate,none,own,unskilled resident,none,yes,4,7316,4,4,70,1,1,bad
no checking,critical/other existing credit,used car,<100,>=7,male single,none,car,none,own,skilled,none,yes,31,6795,2,2,64,4,1,bad
no checking,critical/other existing credit,furniture/equipment,<100,unemployed,male single,none,real estate,stores,own,unskilled resident,yes,yes,65,2571,1,1,59,2,1,bad
0<=X<200,existing paid,business,<100,>=7,male single,none,no known property,none,for free,skilled,yes,yes,50,13382,2,4,59,4,1,good
no checking,existing paid,radio/tv,<100,1<=X<4,male single,guarantor,no known property,stores,own,skilled,yes,yes,62,8580,3,4,39,2,1,good
no checking,existing paid,new car,no known savings,>=7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,34,8544,1,4,75,1,1,good
<0,existing paid,new car,<100,1<=X<4,male single,none,car,bank,for free,unskilled resident,yes,yes,52,13803,3,3,56,4,1,bad
0<=X<200,critical/other existing credit,new car,500<=X<1000,>=7,male mar/wid,none,real estate,none,rent,skilled,none,yes,8,5583,1,2,26,4,1,good
<0,existing paid,radio/tv,<100,>=7,male mar/wid,none,life insurance,none,for free,skilled,none,yes,34,8108,3,4,61,1,1,bad
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,car,none,for free,skilled,none,yes,40,5639,4,2,50,4,1,good
<0,existing paid,new car,<100,1<=X<4,male single,none,car,bank,own,skilled,none,yes,18,18482,3,1,26,1,1,bad
>=200,existing paid,business,<100,>=7,male single,none,car,none,own,skilled,yes,yes,55,3455,2,2,62,1,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,female div/sep/mar,guarantor,life insurance,none,own,skilled,none,yes,72,2411,1,3,28,3,1,good
no checking,existing paid,used car,<100,<1,female div/sep/mar,none,life insurance,bank,own,skilled,none,yes,14,18098,2,3,41,2,1,good
0<=X<200,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,none,real estate,none,for free,skilled,none,yes,46,893,3,2,22,3,2,good
no checking,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,car,bank,own,skilled,none,yes,26,15236,1,3,66,1,1,good
<0,existing paid,new car,<100,unemployed,male single,none,life insurance,none,own,skilled,none,yes,43,11878,3,4,70,1,1,bad
no checking,critical/other existing credit,used car,no known savings,1<=X<4,male single,none,car,none,own,skilled,none,yes,66,5601,4,3,56,4,1,bad
<0,critical/other existing credit,repairs,<100,1<=X<4,female div/sep/mar,none,real estate,none,rent,skilled,none,yes,5,4803,4,1,48,1,2,bad
0<=X<200,critical/other existing credit,furniture/equipment,500<=X<1000,>=7,male single,none,life insurance,none,own,unskilled resident,none,yes,50,6768,4,2,59,1,2,good
no checking,critical/other existing credit,radio/tv,100<=X<500,1<=X<4,male div/sep,none,life insurance,none,own,unskilled resident,yes,yes,33,5973,3,2,41,1,1,bad
<0,existing paid,furniture/equipment,no known savings,>=7,male single,none,real estate,bank,own,unemp/unskilled non res,none,yes,19,8196,3,1,23,2,1,bad
<0,delayed previously,new car,no known savings,unemployed,male single,none,life insurance,none,own,skilled,none,yes,62,860,4,1,39,3,1,good
no checking,existing paid,new car,<100,1<=X<4,female div/sep/mar,none,car,stores,for free,skilled,none,yes,50,4552,3,1,74,3,1,good
no checking,existing paid,furniture/equipment,100<=X<500,1<=X<4,male single,guarantor,no known property,none,own,skilled,yes,yes,33,1793,2,1,24,2,1,good
no checking,critical/other existing credit,new car,no known savings,1<=X<4,female div/sep/mar,none,car,none,own,unskilled resident,yes,yes,12,1716,3,4,67,2,2,good
no checking,no credits/all paid,new car,<100,<1,male single,none,life insurance,bank,own,high qualif/self emp/mgmt,none,yes,68,9358,2,3,35,2,1,good
>=200,critical/other existing credit,education,<100,<1,male single,none,real estate,none,own,skilled,none,yes,62,14906,4,3,43,3,1,good
<0,existing paid,business,<100,1<=X<4,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,67,6486,3,4,42,3,1,bad
0<=X<200,delayed previously,domestic appliances,no known savings,1<=X<4,female div/sep/mar,none,real estate,none,for free,skilled,yes,yes,11,13969,4,1,40,1,1,good
<0,delayed previously,education,>=1000,1<=X<4,male div/sep,none,no known property,none,own,skilled,yes,yes,55,17815,1,2,31,3,1,good
no checking,critical/other existing credit,used car,<100,1<=X<4,male single,none,life insurance,none,own,unskilled resident,yes,yes,21,9293,3,2,35,4,1,good
>=200,delayed previously,business,<100,>=7,female div/sep/mar,co applicant,life insurance,none,rent,unskilled resident,yes,yes,61,4786,3,2,32,3,1,good
0<=X<200,existing paid,new car,<100,>=7,male single,none,no known property,none,own,unemp/unskilled non res,none,no,52,17353,4,1,52,2,1,good
0<=X<200,all paid,business,<100,1<=X<4,male mar/wid,none,real estate,bank,own,skilled,none,yes,35,10456,4,4,44,3,1,good
no checking,existing paid,other,no known savings,1<=X<4,female div/sep/mar,none,car,none,rent,skilled,yes,yes,51,3892,4,4,37,1,1,good
<0,existing paid,radio/tv,<100,<1,female div/sep/mar,none,car,none,own,skilled,yes,yes,48,12312,1,4,44,3,1,bad
>=200,critical/other existing credit,business,<100,>=7,male single,none,real estate,bank,own,skilled,none,yes,57,16697,1,3,21,2,1,bad
